D | 2016-10-13 18:26:10,942   c.t.f.h.m.MessageBodyModule$ [run-main-0] - [                ] Configuring MessageBodyManager ~ debug(:86) 
I | 2016-10-13 18:26:10,957  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Warming up. ~ info(:128) 
I | 2016-10-13 18:26:11,167  c.t.f.http.routing.HttpRouter [run-main-0] - [                ] Adding routes
POST    /v1/entity/extract
POST    /v1/entity/extract/:aid ~ info(:128) 
I | 2016-10-13 18:26:11,171  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ]  => com.twitter.server.handler.AdminRedirectHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,172  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin => com.twitter.server.handler.SummaryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,172  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/server_info => com.twitter.finagle.Filter$$anon$1 ~ apply(:174) 
I | 2016-10-13 18:26:11,172  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/contention => com.twitter.finagle.Filter$$anon$1 ~ apply(:174) 
I | 2016-10-13 18:26:11,173  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/lint => com.twitter.server.handler.LintHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,173  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/lint.json => com.twitter.server.handler.LintHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,173  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/threads => com.twitter.server.handler.ThreadsHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,174  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/threads.json => com.twitter.server.handler.ThreadsHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,174  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/announcer => com.twitter.finagle.Filter$$anon$1 ~ apply(:174) 
I | 2016-10-13 18:26:11,174  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/dtab => com.twitter.finagle.Filter$$anon$1 ~ apply(:174) 
I | 2016-10-13 18:26:11,174  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/pprof/heap => com.twitter.server.handler.HeapResourceHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,175  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/pprof/profile => com.twitter.server.handler.ProfileResourceHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,175  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/pprof/contention => com.twitter.server.handler.ProfileResourceHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,175  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/ping => com.twitter.server.handler.ReplyHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,175  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/shutdown => com.twitter.server.handler.ShutdownHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,176  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/tracing => com.twitter.server.handler.TracingHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,176  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/events => com.twitter.server.handler.EventsHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/events/record/ => com.twitter.server.handler.EventRecordingHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/logging => com.twitter.server.handler.LoggingHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/metrics => com.twitter.server.handler.MetricQueryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/clients/ => com.twitter.server.handler.ClientRegistryHandler ~ apply(:174) 
I | 2016-10-13 18:26:11,177  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] /admin/servers/ => com.twitter.server.handler.ServerRegistryHandler ~ apply(:174) 
